date,price
2022-06-20,1164.33
2022-06-21,1155.46
2022-06-22,1161.32
2022-06-23,1181.06
2022-06-24,1178.27
2022-06-27,1197.34
2022-06-28,1214.12
2022-06-29,1214.42
2022-06-30,1189.5
2022-07-01,1194.16
2022-07-04,1192.85
2022-07-05,1181.62
2022-07-06,1151.69
2022-07-07,1167.22
2022-07-08,1174.34
2022-07-11,1155.08
2022-07-12,1171.95
2022-07-13,1169.68
2022-07-14,1176.26
2022-07-15,1174.82
2022-07-18,1171.29
2022-07-19,1170.45
2022-07-20,1185.85
2022-07-21,1192.74
2022-07-22,1187.53
2022-07-25,1180.43
2022-07-26,1175.15
2022-07-27,1179.45
2022-07-28,1196.16
2022-07-29,1191.79
2022-08-01,1216.7
2022-08-02,1224.3
2022-08-03,1230.97
2022-08-04,1234.97
2022-08-05,1233.39
2022-08-08,1238.1
2022-08-09,1242.37
2022-08-10,1239.31
2022-08-11,1231.47
2022-08-12,1241.68
2022-08-15,1255.46
2022-08-16,1257.15
2022-08-17,1259.04
2022-08-18,1256.97
2022-08-19,1251.55
2022-08-22,1244.03
2022-08-23,1253.82
2022-08-24,1258.71
2022-08-25,1272.19
2022-08-26,1266.72
2022-08-29,1253.51
2022-08-30,1254.53
2022-08-31,1258.36
2022-09-05,1256.38
2022-09-06,1257.32
2022-09-07,1223.85
2022-09-08,1217.15
2022-09-09,1230.24
2022-09-12,1228.83
2022-09-13,1228.07
2022-09-14,1222.37
2022-09-15,1224.43
2022-09-16,1210.14
2022-09-19,1182.99
2022-09-20,1196.7
2022-09-21,1185.93
2022-09-22,1190.39
2022-09-23,1177.67
2022-09-26,1145.19
2022-09-27,1140.16
2022-09-28,1120.32
2022-09-29,1105.85
2022-09-30,1109.45
2022-10-03,1058.77
2022-10-04,1049.46
2022-10-05,1074.28
2022-10-06,1039.57
2022-10-07,999.39
2022-10-10,1002.68
2022-10-11,965.37
2022-10-12,998.27
2022-10-13,1011.97
2022-10-14,1024.4
2022-10-17,1016.72
2022-10-18,1025.94
2022-10-19,1021.57
2022-10-20,1017.68
2022-10-21,975.11
2022-10-24,939.43
2022-10-25,953.92
2022-10-26,950.93
2022-10-27,990.02
2022-10-28,989.18
2022-10-31,985.36
2022-11-01,993.49
2022-11-02,981.76
2022-11-03,980.58
2022-11-04,954.06
2022-11-07,925.89
2022-11-08,932.11
2022-11-09,929.42
2022-11-10,886.76
2022-11-11,891.84
2022-11-14,874.88
2022-11-15,842.48
2022-11-16,875.14
2022-11-17,901.73
2022-11-18,904.47
2022-11-21,895.23
2022-11-22,889.41
2022-11-23,882.33
2022-11-24,884.13
2022-11-25,909.27
2022-11-28,944.64
2022-11-29,968.32
2022-11-30,988.24
2022-12-01,983.13
2022-12-02,1027.49
2022-12-05,1045.23
2022-12-06,998.44
2022-12-07,989.35
2022-12-08,1008.16
2022-12-09,1011.92
2022-12-12,989.81
2022-12-13,1008.45
2022-12-14,1009.89
2022-12-15,1019.55
2022-12-16,1018.01
2022-12-19,1004.38
2022-12-20,984.79
2022-12-21,983.76
2022-12-22,988.7
2022-12-23,984.09
2022-12-26,940.64
2022-12-27,962.45
2022-12-28,971.26
2022-12-29,965.4
2022-12-30,966.09
2023-01-03,1001.87
2023-01-04,1004.09
2023-01-05,1013.72
2023-01-06,1008.96
2023-01-09,1010.69
2023-01-10,1010.36
2023-01-11,1013.71
2023-01-12,1013.73
2023-01-13,1016.87
2023-01-16,1021.42
2023-01-17,1046.19
2023-01-18,1056.96
2023-01-19,1063.59
2023-01-27,1072.82
2023-01-30,1059.49
2023-01-31,1069.79
2023-02-01,1033.58
2023-02-02,1033.93
2023-02-03,1026.48
2023-02-06,1035.14
2023-02-07,1012.11
2023-02-08,1015.19
2023-02-09,1006.33
2023-02-10,995.02
2023-02-13,980.97
2023-02-14,978.9
2023-02-15,987.42
2023-02-16,999.38
2023-02-17,999.5
2023-02-20,1030.5
2023-02-21,1024.73
2023-02-22,995.9
2023-02-23,995.59
2023-02-24,976.6
2023-02-27,955.64
2023-02-28,959.07
2023-03-01,977.28
2023-03-02,973.84
2023-03-03,959.1
2023-03-06,962.16
2023-03-07,973.26
2023-03-08,986.6
2023-03-09,994.97
2023-03-10,991.28
2023-03-13,991.19
2023-03-14,977.65
2023-03-15,1003.61
2023-03-16,988.39
2023-03-17,989.57
2023-03-20,968.22
2023-03-21,978.03
2023-03-22,983.59
2023-03-23,988.34
2023-03-24,992.92
2023-03-27,998.42
2023-03-28,999.71
2023-03-29,1001.73
2023-03-30,1005.02
2023-03-31,1011.42
2023-04-03,1027.88
2023-04-04,1030.67
2023-04-05,1033.42
2023-04-06,1021.66
2023-04-07,1022.47
2023-04-10,1022.17
2023-04-11,1027.01
2023-04-12,1027.61
2023-04-13,1022.47
2023-04-14,1010.47
2023-04-17,1012.16
2023-04-18,1012.66
2023-04-19,1004.25
2023-04-20,1002.69
2023-04-21,996.18
2023-04-24,994.81
2023-04-25,986.37
2023-04-26,994.02
2023-04-27,993.27
2023-04-28,1003.66
2023-05-04,995.02
2023-05-05,993.9
2023-05-08,1003.84
2023-05-09,1004.65
2023-05-10,1011.28
2023-05-11,1011.64
2023-05-12,1020.84
2023-05-15,1021.0
2023-05-16,1020.31
2023-05-17,1012.11
2023-05-18,1018.25
2023-05-19,1018.64
2023-05-22,1025.45
2023-05-23,1021.35
2023-05-24,1015.34
2023-05-25,1015.2
2023-05-26,1016.03
2023-05-29,1026.59
2023-05-30,1029.93
2023-05-31,1026.67
2023-06-01,1031.53
2023-06-02,1048.15
2023-06-05,1051.53
2023-06-06,1062.83
2023-06-07,1067.08
2023-06-08,1051.85
2023-06-09,1061.58
2023-06-12,1069.37
2023-06-13,1073.06
2023-06-14,1067.65
2023-06-15,1066.33
2023-06-16,1066.79
2023-06-19,1059.87
2023-06-20,1067.63
2023-06-21,1076.35
2023-06-22,1083.41
2023-06-23,1090.58
2023-06-26,1093.3
2023-06-27,1095.13
2023-06-28,1099.6
2023-06-29,1082.94
2023-06-30,1082.38
2023-07-03,1083.86
2023-07-04,1091.18
2023-07-05,1092.55
2023-07-06,1084.46
2023-07-07,1094.8
2023-07-10,1107.2
2023-07-11,1110.47
2023-07-12,1110.03
2023-07-13,1121.98
2023-07-14,1126.56
2023-07-17,1131.75
2023-07-18,1134.22
2023-07-19,1131.63
2023-07-20,1135.42
2023-07-21,1152.83
2023-07-24,1160.4
2023-07-25,1163.96
2023-07-26,1167.79
2023-07-27,1168.08
2023-07-28,1180.49
2023-07-31,1193.98
2023-08-01,1185.37
2023-08-02,1188.93
2023-08-03,1181.03
2023-08-04,1199.74
2023-08-07,1216.11
2023-08-08,1213.06
2023-08-09,1205.98
2023-08-10,1192.62
2023-08-11,1205.46
2023-08-14,1212.71
2023-08-15,1210.17
2023-08-16,1222.23
2023-08-17,1213.71
2023-08-18,1153.99
2023-08-21,1155.11
2023-08-22,1161.32
2023-08-23,1152.13
2023-08-24,1173.59
2023-08-25,1170.3
2023-08-28,1191.11
2023-08-29,1194.25
2023-08-30,1206.8
2023-08-31,1218.92
2023-09-05,1228.33
2023-09-06,1243.04
2023-09-07,1240.42
2023-09-08,1239.04
2023-09-11,1218.98
2023-09-12,1244.99
2023-09-13,1237.9
2023-09-14,1222.44
2023-09-15,1225.85
2023-09-18,1211.63
2023-09-19,1214.45
2023-09-20,1229.75
2023-09-21,1213.37
2023-09-22,1185.27
2023-09-25,1139.29
2023-09-26,1128.89
2023-09-27,1149.75
2023-09-28,1146.35
2023-09-29,1148.47
2023-10-02,1150.72
2023-10-03,1110.71
2023-10-04,1122.61
2023-10-05,1108.21
2023-10-06,1125.53
2023-10-09,1138.15
2023-10-10,1144.55
2023-10-11,1154.28
2023-10-12,1153.59
2023-10-13,1156.82
2023-10-16,1141.96
2023-10-17,1120.14
2023-10-18,1103.68
2023-10-19,1084.32
2023-10-20,1107.36
2023-10-23,1091.82
2023-10-24,1104.25
2023-10-25,1099.69
2023-10-26,1050.41
2023-10-27,1058.25
2023-10-30,1033.36
2023-10-31,1019.22
2023-11-01,1035.34
2023-11-02,1074.28
2023-11-03,1074.84
2023-11-06,1091.04
2023-11-07,1080.73
2023-11-08,1120.88
2023-11-09,1118.4
2023-11-10,1107.2
2023-11-13,1107.78
2023-11-14,1120.67
2023-11-15,1130.57
2023-11-16,1134.15
2023-11-17,1108.54
2023-11-20,1109.84
2023-11-21,1117.64
2023-11-22,1122.13
2023-11-23,1090.69
2023-11-24,1098.11
2023-11-27,1086.25
2023-11-28,1095.28
2023-11-29,1102.84
2023-11-30,1093.86
2023-12-01,1102.58
2023-12-04,1123.52
2023-12-05,1117.72
2023-12-06,1128.93
2023-12-07,1126.45
2023-12-08,1128.85
2023-12-11,1129.68
2023-12-12,1132.71
2023-12-13,1117.49
2023-12-14,1112.3
2023-12-15,1106.36
2023-12-18,1095.83
2023-12-19,1102.81
2023-12-20,1108.02
2023-12-21,1109.69
2023-12-22,1109.59
2023-12-25,1124.15
2023-12-26,1128.29
2023-12-27,1128.61
2023-12-28,1138.09
2023-12-29,1141.65
2024-01-02,1140.25
2024-01-03,1152.77
2024-01-04,1161.03
2024-01-05,1164.81
2024-01-08,1167.79
2024-01-09,1164.86
2024-01-10,1164.42
2024-01-11,1167.26
2024-01-12,1163.43
2024-01-15,1158.72
2024-01-16,1169.95
2024-01-17,1168.28
2024-01-18,1175.49
2024-01-19,1183.75
2024-01-22,1187.37
2024-01-23,1182.85
2024-01-24,1178.74
2024-01-25,1177.84
2024-01-26,1182.99
2024-01-29,1180.69
2024-01-30,1185.64
2024-01-31,1170.92
2024-02-01,1178.45
2024-02-02,1179.49
2024-02-05,1196.9
2024-02-06,1199.68
2024-02-07,1211.21
2024-02-15,1217.39
2024-02-16,1222.64
2024-02-19,1234.18
2024-02-20,1235.71
2024-02-21,1237.03
2024-02-22,1234.58
2024-02-23,1215.23
2024-02-26,1228.15
2024-02-27,1242.56
2024-02-28,1255.79
2024-02-29,1258.09
2024-03-01,1264.44
2024-03-04,1267.79
2024-03-05,1278.67
2024-03-06,1267.89
2024-03-07,1275.78
2024-03-08,1251.76
2024-03-11,1238.55
2024-03-12,1245.36
2024-03-13,1276.48
2024-03-14,1267.6
2024-03-15,1264.79
2024-03-18,1243.39
2024-03-19,1242.02
2024-03-20,1265.41
2024-03-21,1285.42
2024-03-22,1289.21
2024-03-25,1274.66
2024-03-26,1291.41
2024-03-27,1294.21
2024-03-28,1305.91
