code,line_item,period_end,measure,value,asOf
2270,Portfolio turnover rate (%) = (Total value of purchase transactions + total value of sales transactions) x 100%/ (2 x Average NAV) (**),2021-07-31,month,0.19779458649274,2021-09-01
2273,Fund scale at the beginning of the period (based on par value of fund certificate),2021-07-31,month,227322735900,2021-09-01
2274,Total value of outstanding Fund Certificate at the beginning of period,2021-07-31,month,227322735900,2021-09-01
2275,Total number of outstanding Fund Certificate at the beginning of period,2021-07-31,month,22732273.59,2021-09-01
2276,Change of Fund scale during the period (based on par value of fund certificate),2021-07-31,month,3395700,2021-09-01
2277,Number of Fund Certificates subscribed during the period,2021-07-31,month,5981.96,2021-09-01
2278,Net subscription amount during the period (based on par value),2021-07-31,month,59819600,2021-09-01
2279,Fund scale at the end of the period (based on par value),2021-07-31,month,227326131600,2021-09-01
2280,Total value of outstanding Fund Certificate at the end of the period (based on par value),2021-07-31,month,227326131600,2021-09-01
2281,Total number of outstanding Fund Certificate at the end of the period,2021-07-31,month,22732613.16,2021-09-01
2282,Fund Management Company and related parties' ownership ratio at the end of the period,2021-07-31,month,0.942611302501045,2021-09-01
2283,Top 10 investors' ownership ratio at the end of the period,2021-07-31,month,0.9981,2021-09-01
2284,Foreign investors' ownership ratio at the end of the period,2021-07-31,month,0.0002,2021-09-01
2285,Net asset value per Fund Certificate at the end of period,2021-07-31,month,9379.22,2021-09-01
22661,"Fund admin fee, and other fees paid to relating services providers by the fund management company/Average NAV (%)",2021-07-31,month,0.002723453478468404,2021-09-01
22761,Change of Number of Fund Certificates during the period,2021-07-31,month,339.57,2021-09-01
22762,Change in capital amount during the period (based on par value),2021-07-31,month,3395700,2021-09-01
22781,Number of Fund Certificates redeemed during the period,2021-07-31,month,-5642.39,2021-09-01
22782,Net redemption amount during the period (based on par value),2021-07-31,month,-56423900,2021-09-01
22841,Number of investors of the Fund at the end of the period,2021-07-31,month,84,2021-09-01
2265,Management fee paid to the fund management company/Average NAV (%),2021-08-31,month,0.0122310474482383,2021-10-01
2266,Custody and supervising fees paid to the Supervisory Bank/Average NAV (%),2021-08-31,month,0.0016778211034119707,2021-10-01
2267,Auditing fee paid to auditing organizations (if any)/Average NAV (%),2021-08-31,month,0.000442649118040544,2021-10-01
2268,"Legal consultancy, price quotation and other appropriate service fees; remunerations paid to the Board of Representatives/Average NAV (%)",2021-08-31,month,0.000544367607721326,2021-10-01
2269,Expense/Average NAV (%),2021-08-31,month,0.0179162588053308,2021-10-01
2270,Portfolio turnover rate (%) = (Total value of purchase transactions + total value of sales transactions) x 100%/ (2 x Average NAV) (**),2021-08-31,month,0.503545465868974,2021-10-01
2273,Fund scale at the beginning of the period (based on par value of fund certificate),2021-08-31,month,227326131600,2021-10-01
2274,Total value of outstanding Fund Certificate at the beginning of period,2021-08-31,month,227326131600,2021-10-01
2275,Total number of outstanding Fund Certificate at the beginning of period,2021-08-31,month,22732613.16,2021-10-01
2276,Change of Fund scale during the period (based on par value of fund certificate),2021-08-31,month,3193508900,2021-10-01
2277,Number of Fund Certificates subscribed during the period,2021-08-31,month,324703.67,2021-10-01
2278,Net subscription amount during the period (based on par value),2021-08-31,month,3247036700,2021-10-01
2279,Fund scale at the end of the period (based on par value),2021-08-31,month,230519640500,2021-10-01
2280,Total value of outstanding Fund Certificate at the end of the period (based on par value),2021-08-31,month,230519640500,2021-10-01
2281,Total number of outstanding Fund Certificate at the end of the period,2021-08-31,month,23051964.05,2021-10-01
2282,Fund Management Company and related parties' ownership ratio at the end of the period,2021-08-31,month,0.929575330480354,2021-10-01
2283,Top 10 investors' ownership ratio at the end of the period,2021-08-31,month,0.9931,2021-10-01
2284,Foreign investors' ownership ratio at the end of the period,2021-08-31,month,0.0002,2021-10-01
2285,Net asset value per Fund Certificate at the end of period,2021-08-31,month,9429.98,2021-10-01
22661,"Fund admin fee, and other fees paid to relating services providers by the fund management company/Average NAV (%)",2021-08-31,month,0.002694249754408829,2021-10-01
22761,Change of Number of Fund Certificates during the period,2021-08-31,month,319350.89,2021-10-01
22762,Change in capital amount during the period (based on par value),2021-08-31,month,3193508900,2021-10-01
22781,Number of Fund Certificates redeemed during the period,2021-08-31,month,-5352.78,2021-10-01
22782,Net redemption amount during the period (based on par value),2021-08-31,month,-53527800,2021-10-01
22841,Number of investors of the Fund at the end of the period,2021-08-31,month,156,2021-10-01
