code,line_item,period_end,measure,value,asOf
2221.2,Interest income from bonds,2021-06-30,month,2718082192,2021-08-03
2221.2,Interest income from bonds,2021-06-30,ytd,17659821154,2021-07-02
2222,Interest income,2021-06-30,month,2886685104,2021-08-03
2222,Interest income,2021-06-30,ytd,17571318342,2021-07-02
2222.1,Interest income from bank deposits,2021-06-30,month,248534419,2021-08-03
2222.1,Interest income from bank deposits,2021-06-30,ytd,2196886836,2021-07-02
2222.2,Interest income from Certificates of Deposit,2021-06-30,month,2638150685,2021-08-03
2222.2,Interest income from Certificates of Deposit,2021-06-30,ytd,15374431506,2021-07-02
2222.3,Interest income from reverse repo contracts,2021-06-30,month,0,2021-08-03
2222.3,Interest income from reverse repo contracts,2021-06-30,ytd,0,2021-07-02
2223.1,Other investment incomes,2021-06-30,month,0,2021-08-03
2223.1,Other investment incomes,2021-06-30,ytd,0,2021-07-02
2223.3,"Provision expense for bad debts from dividends, interest income and written off bad debts from dividends, interest income",2021-06-30,month,0,2021-08-03
2223.3,"Provision expense for bad debts from dividends, interest income and written off bad debts from dividends, interest income",2021-06-30,ytd,0,2021-07-02
2224,Expenses,2021-06-30,month,949864995,2021-08-03
2224,Expenses,2021-06-30,ytd,5753631948,2021-07-02
2225,Management Fee paid to Fund Management Company,2021-06-30,month,812144227,2021-08-03
2225,Management Fee paid to Fund Management Company,2021-06-30,ytd,4852065452,2021-07-02
2226,"Custody fee, Supervising fee paid to Supervising Bank/VSD",2021-06-30,month,57715096,2021-08-03
2226,"Custody fee, Supervising fee paid to Supervising Bank/VSD",2021-06-30,ytd,388399140,2021-07-02
2226.1,Custodian service - Safe Custody Fee,2021-06-30,month,27071474,2021-08-03
2226.1,Custodian service - Safe Custody Fee,2021-06-30,ytd,181876162,2021-07-02
2226.2,Custodian service - Transaction fee,2021-06-30,month,400000,2021-08-03
2226.2,Custodian service - Transaction fee,2021-06-30,ytd,3200000,2021-07-02
2226.3,"Custodian service -  Depository fee, Position and Margin management fee paid to VSD",2021-06-30,month,465000,2021-08-03
2226.3,"Custodian service -  Depository fee, Position and Margin management fee paid to VSD",2021-06-30,ytd,3259200,2021-07-02
2226.4,Supervisory fee,2021-06-30,month,29778622,2021-08-03
2226.4,Supervisory fee,2021-06-30,ytd,200063778,2021-07-02
2227,"Fund Administration Fee, and other fees paid to relevant Fund's service providers",2021-06-30,month,33333967,2021-08-03
2227,"Fund Administration Fee, and other fees paid to relevant Fund's service providers",2021-06-30,ytd,216047833,2021-07-02
2227.1,Fund Administration Fee,2021-06-30,month,22333967,2021-08-03
2227.1,Fund Administration Fee,2021-06-30,ytd,150047833,2021-07-02
2227.2,Transfer Agency Fee,2021-06-30,month,11000000,2021-08-03
2227.2,Transfer Agency Fee,2021-06-30,ytd,66000000,2021-07-02
2228,Audit fee,2021-06-30,month,9312329,2021-08-03
2228,Audit fee,2021-06-30,ytd,56184384,2021-07-02
2229,"Legal consultancy expenses, price feed fee, other valid expenses, remuneration paid to Fund's Board of Representatives",2021-06-30,month,35139726,2021-08-03
2229,"Legal consultancy expenses, price feed fee, other valid expenses, remuneration paid to Fund's Board of Representatives",2021-06-30,ytd,101163014,2021-07-02
2229.1,Remuneration of Fund's Board of Representatives,2021-06-30,month,9739726,2021-08-03
2229.1,Remuneration of Fund's Board of Representatives,2021-06-30,ytd,58463014,2021-07-02
2229.2,Price feed fee,2021-06-30,month,25400000,2021-08-03
2229.2,Price feed fee,2021-06-30,ytd,42700000,2021-07-02
2229.3,Legal consultancy expenses,2021-06-30,month,0,2021-08-03
2229.3,Legal consultancy expenses,2021-06-30,ytd,0,2021-07-02
2230,"Fee for drafting, printing, distribution of prospectus, summarised prospectus, financial statements, transaction confirmations, account statements and other documents to investors; information disclosure fee; fee for organising annual general meeting, board of representatives meeting",2021-06-30,month,0,2021-08-03
2230,"Fee for drafting, printing, distribution of prospectus, summarised prospectus, financial statements, transaction confirmations, account statements and other documents to investors; information disclosure fee; fee for organising annual general meeting, board of representatives meeting",2021-06-30,ytd,4895660,2021-07-02
2230.1,Meeting expenses,2021-06-30,month,0,2021-08-03
2230.1,Meeting expenses,2021-06-30,ytd,4895660,2021-07-02
2230.2,Annual report expenses,2021-06-30,month,0,2021-08-03
2230.2,Annual report expenses,2021-06-30,ytd,0,2021-07-02
2230.3,"Fund's Board of Representatives meeting, travelling expenses",2021-06-30,month,0,2021-08-03
2230.3,"Fund's Board of Representatives meeting, travelling expenses",2021-06-30,ytd,0,2021-07-02
2230.4,Expenses of information disclosure of the Fund,2021-06-30,month,0,2021-08-03
2230.4,Expenses of information disclosure of the Fund,2021-06-30,ytd,0,2021-07-02
2230.5,"Designing, printing, posting... expenses",2021-06-30,month,0,2021-08-03
2230.5,"Designing, printing, posting... expenses",2021-06-30,ytd,0,2021-07-02
2231,Expenses related to execution of Fund’s asset transactions,2021-06-30,month,150000,2021-08-03
2231,Expenses related to execution of Fund’s asset transactions,2021-06-30,ytd,120688115,2021-07-02
2231.1,Brokerage fee,2021-06-30,month,0,2021-08-03
2231.1,Brokerage fee,2021-06-30,ytd,94788115,2021-07-02
2231.2,Clearing settlement fee,2021-06-30,month,150000,2021-08-03
2231.2,Clearing settlement fee,2021-06-30,ytd,900000,2021-07-02
2232,Other expenses,2021-06-30,month,2069650,2021-08-03
2232,Other expenses,2021-06-30,ytd,14188350,2021-07-02
2232.1,Set up Expenses,2021-06-30,month,0,2021-08-03
2232.1,Set up Expenses,2021-06-30,ytd,0,2021-07-02
2232.2,"Listing, registration fees",2021-06-30,month,0,2021-08-03
2232.2,"Listing, registration fees",2021-06-30,ytd,0,2021-07-02
2232.3,Annual management fee paid to SSC,2021-06-30,month,0,2021-08-03
2232.3,Annual management fee paid to SSC,2021-06-30,ytd,0,2021-07-02
2232.4,Bank charges,2021-06-30,month,2069650,2021-08-03
2232.4,Bank charges,2021-06-30,ytd,13088350,2021-07-02
2232.5,Borrowing expense,2021-06-30,month,0,2021-08-03
2232.5,Borrowing expense,2021-06-30,ytd,0,2021-07-02
2232.7,Fee paid to VSD for getting the list of investors,2021-06-30,month,0,2021-08-03
2232.7,Fee paid to VSD for getting the list of investors,2021-06-30,ytd,1100000,2021-07-02
2233,Net Income from Investment Activities (= I - II),2021-06-30,month,4654902301,2021-08-03
2233,Net Income from Investment Activities (= I - II),2021-06-30,ytd,29477507548,2021-07-02
2234,Gain / (Loss) from Investment Activities,2021-06-30,month,-128000000,2021-08-03
